fecha,kilowatHora,temperatura,precipitacion,humedad
1/1/2019,625.839631,13.725,0,77
1/2/2019,622.590407,13.9,0,77
1/3/2019,626.938902,13.283,0,78
1/4/2019,620.75514,13.721,0.0002,78
1/5/2019,624.126452,13.546,0.0499,78
1/6/2019,622.419298,14.563,0,71
1/7/2019,622.36398,13.842,0,71
1/8/2019,620.77977,14.315,0.0004,71
1/9/2019,623.658637,13.557,0,71
1/10/2019,627.155852,13.353,0.0019,71
1/11/2019,620.92855,13.956,0.0003,71
1/12/2019,624.561181,13.177,0,55
1/13/2019,620.156295,14.113,0,55
1/14/2019,620.158825,14.204,0,55
1/15/2019,628.378364,14.179,0,52
1/16/2019,625.382675,13.7,0,50
1/17/2019,625.151061,14.188,0,67
1/18/2019,628.364128,14.163,0.0037,58
1/19/2019,621.467902,14.857,0.0011,68
1/20/2019,624.931894,14.667,0.0003,69
1/21/2019,629.201076,13.267,0,81
1/22/2019,624.42156,14.6,0,84
1/23/2019,627.430276,15.246,0,84
1/24/2019,628.895165,15.983,0,82
1/25/2019,626.479118,14.763,0.0054,82
1/26/2019,629.31046,14.663,0.0009,82
1/27/2019,627.134233,14.121,0.0002,82
1/28/2019,629.756438,13.804,0.0891,82
1/29/2019,620.85365,13.952,0.0001,82
1/30/2019,625.528252,13.186,0.0001,78
1/31/2019,629.767814,13.863,0.0075,78
2/1/2019,610.063524,15.296,0.0412,78
2/2/2019,610.722056,14.892,0.0013,70
2/3/2019,611.625139,14.267,0.0001,70
2/4/2019,607.680685,14.254,0.0167,70
2/5/2019,609.621194,14.296,0.0096,52
2/6/2019,611.244061,14.033,0,44
2/7/2019,608.8629,14.404,0.0007,52
2/8/2019,609.124328,15.242,0.0046,37
2/9/2019,614.000183,15.021,0.0001,37
2/10/2019,610.982567,13.85,0.0437,54
2/11/2019,606.678063,14.671,0.0004,48
2/12/2019,606.184062,14.104,0.0002,59
2/13/2019,606.081824,14.896,0.0432,81
2/14/2019,611.804406,14.613,0.0001,75
2/15/2019,611.497246,15.054,0,79
2/16/2019,607.047348,15.296,0.0003,79
2/17/2019,606.909283,15.008,0,78
2/18/2019,614.818932,14.878,0.1233,78
2/19/2019,605.563766,14.775,0.0043,78
2/20/2019,610.083208,15.121,0.0269,80
2/21/2019,611.946802,15.533,0,80
2/22/2019,613.995285,14.783,0.0879,80
2/23/2019,613.789266,14.638,0.0944,80
2/24/2019,605.15478,14.583,0.0192,80
2/25/2019,607.866652,15.039,0.0158,80
2/26/2019,608.510861,13.829,0.001,78
2/27/2019,605.344041,13.495,0.0059,78
2/28/2019,614.180316,14.846,0.0002,78
3/1/2019,556.080729,14.633,0.0213,51
3/2/2019,549.24431,13.838,0.001,51
3/3/2019,548.552007,14.392,0,51
3/4/2019,548.143247,14.071,0.2719,51
3/5/2019,547.39267,15.363,0,51
3/6/2019,547.285267,15.817,0.019,55
3/7/2019,548.49732,14.309,0.0338,53
3/8/2019,548.104018,14.688,0,60
3/9/2019,543.297567,15.1,0.0007,72
3/10/2019,549.699244,15.788,0,79
3/11/2019,549.117844,15.196,0,79
3/12/2019,548.537813,15.205,0.0008,79
3/13/2019,550.742561,15.679,0.1461,78
3/14/2019,542.714188,15.429,0,78
3/15/2019,546.239602,15.075,0.0371,78
3/16/2019,543.402547,15.014,0,77
3/17/2019,542.866164,15.621,0,77
3/18/2019,544.094028,15.295,0.0385,77
3/19/2019,547.078994,14.783,0.1317,75
3/20/2019,541.54461,13.408,0.0256,75
3/21/2019,541.911514,14.413,0.1294,75
3/22/2019,548.853833,13.596,0.1554,74
3/23/2019,541.393804,14.322,0.0094,74
3/24/2019,545.281882,15,0,74
3/25/2019,541.416474,14.367,0,74
3/26/2019,543.834542,14.825,0,57
3/27/2019,544.209844,14.714,0,57
3/28/2019,541.524579,15.75,0,55
3/29/2019,555.90766,14.921,0.1115,53
3/30/2019,548.112028,14.725,0.02,57
3/31/2019,545.295564,15.867,0,74
4/1/2019,481.621369,15.104,0.2796,92
